Country name,Average Life Ladder,Count Life Ladder,Average Freedom,Count Freedom,Average GDP per capita,Count GDP,Average Social Support,Count Social Support,Average Healthy Life Expectancy,Count Healthy Life Expectancy,Average Perceptions of Corruption,Count Perceptions of Corruption,Average Negative Affect,Count Negative Affect,Average Generosity,Count Generosity
Finland,7.703070211410522,10,0.948654156923294,10,10.769117641448975,10,0.9570324420928955,10,70.94800033569337,10,0.2055690839886665,10,0.18430988788604732,10,-0.01958221212262284,10
Denmark,7.577779388427734,10,0.9409069418907166,10,10.932697105407716,10,0.9516796469688416,10,70.9279998779297,10,0.19172636568546292,10,0.21191271096467967,10,0.11223970716819162,10
Iceland,7.52091771364212,8,0.9395330473780632,8,10.902612209320068,8,0.9800668731331825,8,72.00312519073486,8,0.6852441281080246,8,0.16968110203742975,8,0.24829837892736706,8
Norway,7.430426836013794,10,0.9503391861915589,10,11.08030891418457,10,0.9487627029418946,10,71.35999984741211,10,0.2995443537831306,10,0.20859507173299785,10,0.16003123298287386,10
Netherlands,7.399686288833618,10,0.8953562080860138,10,10.923315048217773,10,0.9237918794155121,10,71.36599960327149,10,0.39562717378139495,10,0.21048199087381358,10,0.22778593748807902,10
Switzerland,7.388864660263062,10,0.9140280485153198,10,11.141101264953614,10,0.9318477630615234,10,72.41399993896485,10,0.27537339180707926,10,0.18593852221965784,10,0.0712255714461207,10
Sweden,7.330211639404297,10,0.9386605203151703,10,10.864054965972901,10,0.9295939803123474,10,71.84600143432617,10,0.2342011362314224,10,0.1906771674752235,10,0.1501506499946117,10
Israel,7.244724321365356,10,0.7782350778579712,10,10.608702182769775,10,0.9196106970310212,10,72.33199996948242,10,0.7481031894683838,10,0.27731878161430357,10,0.0672988545615226,10
New Zealand,7.219736909866333,10,0.913955545425415,10,10.662705421447754,10,0.9504230678081512,10,70.16800003051758,10,0.25184387713670725,10,0.19506194740533828,10,0.21681362614035601,10
Australia,7.1823962211608885,10,0.9058465182781219,10,10.800497341156007,10,0.9345269680023194,10,70.86199951171875,10,0.44148918688297273,10,0.22385088652372356,10,0.2217120803892612,10
