year,Life Ladder
2014,5.233025550842285
2015,5.171971321105957
2016,5.270723819732666
2017,5.153989791870117
2018,5.167186737060547
2019,4.024219512939453
2020,2.633752584457397
2021,2.178809404373169
2022,2.35242772102356
2023,3.587908267974853
