year,Life Ladder
2014,5.386266734864977
2015,5.400948453956927
2016,5.396380853991136
2017,5.4604214729905935
2018,5.4986834154061395
2019,5.57099475893941
2020,5.727539107717317
2021,5.636192835745264
2022,5.4990947238036565
2023,5.6208109510117685
