year,Life Ladder
2014,3.1308956146240234
2015,3.982854604721069
2016,4.220168590545654
2017,2.6617181301116943
2018,2.694303274154663
2019,2.375091791152954
2021,2.4360344409942627
2022,1.2812711000442505
2023,1.445908546447754
